id,template-group,type,category
CA,1,java-8-features,Collectors
CB,2,java-8-features,Optional
AA,5,sorting-algorithm,Quick Sort
CC,3,java-8-features,Functional Interface
DA,4,design-pattern,Builder Design Pattern
CD,6,java-8-features,Lambda
